평점,제목,리뷰
10,신과함께-인과 연,  편도기대  
10,쥬라기 월드: 폴른 킹덤,  재밋엇어요애들시끄러운거빼고ㅠ  
10,목격자,  넘넘 무서웠어요ㅠㅠㅠ 마지막 엔딩에 먹먹하기도 하고 여러 생각도 들구 추천해요  
8,미션 임파서블: 폴아웃,  아주 멋져요나이가 들어도 톰크루즈 짱  
1,인랑,  와  
8,공작,  재밌었습니당  
10,목격자,  뻔하지 않은 전개라 더 욱 마음에 듬 긴장감 넘치는 전개는 칭찬할만함  
8,메가로돈,  은근히 스릴 넘침팝콘무비로 좋아여  
4,목격자,  하나도 긴장감없네  
2,메가로돈,  중국인을 위한 영화 그 이상 이하도 아니네요  
8,탐정: 리턴즈,  편보다  재밋엇어요  
8,목격자,  고구마 개 먹은듯 답답했지만 우리사회 현실인 거 같기도 하면서 영화가 개연성이 떨어져서 약간 이도 저도 아닌  근데 영화가 뭘 전달하려는 내용인진 알겟음  
6,공작,  그냥 볼만해용 왜 위하는지는 모르겠네엿  
6,명탐정 코난 : 제로의 집행인,  초반부터 중간까지는 좀 지루했어요  
10,공작,  영화는  영화로써  봐야   한국  첩보의  역작  
10,목격자,  너무재미있어용 숨바꼭질 다시 보는줄  
9,신과함께-인과 연,  재밌었어요중간에 공룡나온게  의아했지만ㅋㅋ  
10,목격자,  배우들의 감정연기가 정말 대단하고 생각했던 영화  생각한 것 이상으로 괜찮은 영화였던것 같음  
8,공작,  재밌어요 믿고보는 배우들우리나라의 답답한 정치인들  
6,목격자,  재미있었음 여러 생각을 하게 됬음  
8,공작,  전 재밋게 봤습니다 전체적으로 긴장감이나 내용자체가 지루할것같으면서 지루하지 않네요  
10,인크레더블 2,  아들과 영화데이트 가족모두보면 더 좋았을걸하는아쉽움까지 넘 즐겁게 봤습니다  
10,메가로돈,  그들이 온다  
10,창,  야한영화로만 오도받고 잊혀지기엔 너무 슬프고 아름다웠던 비운의 걸작  
10,최악의 이웃과 사랑에 빠지는 방법,  정말잘만든영화내가 가진 프랑스영화의 편견을깨고원래 프랑스여자가 저리 예쁜가 라는 생각을준 영화감춰졌을땐 몰랐는데 마지막에 여배우의힙업된 몸매 가슴에 깜놀  
7,공작,  뒤늦게 쓰지만 개인적으론 재미있는 영화  
8,신과함께-인과 연,  인과연을 깊이 생각하게 하는 영화네요  
10,목격자,  재밌게 잘봤어요 올해 제일재밌게본거같아요  
7,신과함께-인과 연,  강림 과거와 연결되는 스토리는 좋았는데 꽤 훌륭했던 에 비하면 이야기 진행 방식이 너무 산만하고 구식인 느낌이라 아쉬움  
8,목격자,  요즘 현실을 반영한듯 하여 맘이 씁슬하네요  
10,신과함께-인과 연,  별점 테러  해서 볼까말까 하다봤는데 진짜 찡함 하정우 과거  
